Pickup Community Area,Ride Date,Total Number of Rides
44,08/23/2013,10
44,03/13/2015,10
44,08/23/2015,3
44,11/23/2016,9
44,08/23/2014,8
44,11/23/2015,7
44,08/23/2016,2
44,11/23/2014,9
44,10/05/2015,8
44,10/05/2016,8
44,10/05/2013,3
44,10/05/2014,10
44,01/12/2017,4
44,01/12/2016,10
44,01/12/2015,10
44,01/12/2014,7
44,01/12/2013,1
44,02/28/2015,16
44,08/06/2014,7
44,02/28/2016,14
44,08/06/2013,4
44,02/28/2013,10
44,02/28/2014,11
44,08/06/2016,9
44,08/06/2015,9
44,01/22/2017,6
44,01/22/2016,14
44,01/22/2013,3
44,01/22/2015,12
44,01/22/2014,4
44,08/13/2015,7
44,08/13/2016,9
44,02/18/2013,6
44,10/28/2016,3
44,02/18/2014,9
44,10/28/2015,9
44,02/18/2015,8
44,10/28/2014,9
44,02/18/2016,11
44,10/28/2013,5
44,02/18/2017,8
44,08/13/2013,8
44,08/13/2014,4
44,03/23/2014,4
44,03/23/2013,3
44,03/23/2017,1
44,03/23/2016,8
44,03/23/2015,8
44,11/30/2013,5
44,10/15/2013,9
44,08/03/2013,2
44,08/03/2014,12
44,08/03/2015,15
44,10/15/2016,26
44,06/12/2017,2
44,11/30/2016,9
44,06/12/2016,8
44,10/15/2014,12
44,11/30/2015,9
44,10/15/2015,40
44,11/30/2014,11
44,02/08/2013,2
44,06/12/2013,8
44,02/08/2014,13
44,06/12/2015,12
44,06/12/2014,9
44,02/08/2017,9
44,08/03/2016,3
44,02/08/2015,12
44,02/08/2016,5
44,05/27/2017,2
44,05/27/2016,9
44,05/27/2015,16
44,05/27/2014,8
44,05/27/2013,1
44,12/19/2016,5
44,12/19/2014,29
44,12/19/2015,7
44,12/19/2013,3
44,05/17/2015,8
44,05/17/2014,11
44,05/17/2017,7
44,11/10/2016,3
44,05/17/2016,4
44,06/22/2014,8
44,11/10/2014,11
44,11/10/2015,13
44,06/22/2013,2
44,11/10/2013,6
44,06/22/2017,5
44,06/22/2016,5
44,06/22/2015,5
44,12/09/2013,12
44,12/09/2014,14
44,12/09/2015,16
44,12/09/2016,7
44,03/03/2017,10
44,03/03/2015,8
44,03/03/2016,11
44,05/17/2013,6
44,03/03/2013,5
44,03/03/2014,11
44,02/20/2017,4
44,02/20/2013,8
44,02/20/2014,11
44,02/20/2015,16
44,02/20/2016,11
44,04/08/2016,7
44,11/22/2015,13
44,04/08/2015,11
44,11/22/2016,5
44,11/22/2013,13
44,04/08/2014,12
44,11/22/2014,8
44,04/08/2013,4
44,12/16/2013,12
44,12/16/2014,14
44,12/16/2015,6
